id,brand,model,year,fuel,kms,transmission,2door,color,type,displacement,hp,euro,price
631f824fc2ac0184480f7972,Mercedes-Benz,ML,2007,d,260000.0,1.0,0.0,gray,jeep,3200,224,4,15200.0
626c11b56f18bad5bf02cf12,Mercedes-Benz,C,2010,d,205000.0,1.0,0.0,black,combi,3000,224,5,14700.0
63a4a57523426cd2da082ef3,Mercedes-Benz,A,2007,d,178000.0,0.0,0.0,black,hatchback,2000,100,4,4999.0
63fdfe8944ab9a16a80f7504,Mercedes-Benz,C,2009,d,223000.0,1.0,0.0,gray,combi,2200,170,5,12500.0
6245ed6a7de17d5165388b72,Mercedes-Benz,C,2009,d,211000.0,1.0,0.0,gray,combi,2200,136,4,11200.0
640c414005ef5a71ab035dc2,Mercedes-Benz,E,2003,d,233400.0,1.0,0.0,blue,sedan,2198,150,3,9500.0
63c3ff3ba6464354e50a29f2,Mercedes-Benz,E,2010,d,318000.0,1.0,0.0,gray,sedan,3500,231,5,18350.0
63efc025b6e84d0551012272,Mercedes-Benz,S,2015,p,77268.0,1.0,0.0,gray,sedan,4663,455,6,84750.0
63eb68b5db2ddbdfd2053a67,Mercedes-Benz,E,2003,d,260000.0,0.0,0.0,black,sedan,2200,143,4,6800.0
640d83a91336a64bbb08bf42,Mercedes-Benz,B,2008,d,199000.0,,,,,,,,6500.0
63f9f3840f53c340750508c3,Mercedes-Benz,C,2010,d,235000.0,1.0,1.0,black,coupe,2000,122,4,11790.0
64007aba9a8476d90d004f32,Mercedes-Benz,C,2009,d,255000.0,0.0,0.0,blue,sedan,2200,170,4,14560.0
60c4bd28457bbb03480491a3,Mercedes-Benz,GLE,2016,d,93000.0,1.0,0.0,black,jeep,3500,268,,97498.0
6367e7c293f3a83cc90ce602,Mercedes-Benz,C,2006,d,253352.0,1.0,0.0,gray,combi,3000,224,,8800.0
640d8315674b0877fc067832,Mercedes-Benz,E,2004,d,280000.0,1.0,0.0,gray,combi,2200,150,4,8200.0
637a7cd10f1fb3551f097e12,Mercedes-Benz,E,2004,d,193000.0,1.0,0.0,gold,sedan,3200,204,4,8799.0
6404c2ce6d9beb025e00f6c4,Mercedes-Benz,CLK,2007,d,179000.0,1.0,1.0,black,coupe,2200,150,4,10777.0
63fe468205ccb3053c07f362,Mercedes-Benz,C,2005,d,168000.0,0.0,0.0,gray,sedan,2200,143,4,5999.0
637c69a26eafc731ff001255,Mercedes-Benz,B,2006,d,171000.0,0.0,0.0,black,hatchback,2000,109,4,6600.0
62c839bbfe7354b46b0d2b63,Mercedes-Benz,A,2004,d,160000.0,0.0,0.0,gray,hatchback,1700,95,3,3500.0
6244866f31de885a186cd712,Mercedes-Benz,ML,2007,d,232000.0,1.0,0.0,gray,jeep,3000,190,4,13800.0
62ab64059e87c98160073423,Mercedes-Benz,E,2007,d,222000.0,1.0,0.0,gray,combi,3000,190,4,11300.0
62694189cbb2dad26f0caa62,Mercedes-Benz,R,2011,d,198000.0,1.0,0.0,black,jeep,3500,265,5,22999.0
63e01933ea9bd9600a0dadd3,Mercedes-Benz,C,2010,d,188000.0,1.0,0.0,black,combi,2200,170,5,11799.0
6384ea0fa0102713930f73e2,Mercedes-Benz,E,2005,d,165000.0,1.0,0.0,brown,sedan,3200,177,5,8700.0
64048ed3f2d0996f80041eb4,Mercedes-Benz,B,2010,d,140000.0,0.0,0.0,black,hatchback,1991,140,4,9900.0
63e9b6622d58c5d6ff003e15,Mercedes-Benz,ML,2012,d,220000.0,1.0,0.0,gray,jeep,3500,258,5,41999.0
63ff185e81bd8090ad09e4ca,Mercedes-Benz,E,1995,p,217000.0,0.0,0.0,black,sedan,,136,,6799.0
63ffb6433e3e933e0f086683,Mercedes-Benz,E,2004,d,253000.0,0.0,0.0,blue,sedan,2700,170,4,6900.0
638368d37a5ba59cdd074234,Mercedes-Benz,C,2012,p,260000.0,0.0,0.0,black,sedan,1600,156,5,19800.0
6409acc7c79d8e844f05fea4,Mercedes-Benz,E,2004,d,321976.0,0.0,0.0,gray,sedan,2700,170,4,7300.0
63ee28643379d6f64701e594,Mercedes-Benz,C,2005,d,250000.0,1.0,0.0,blue,sedan,3200,224,4,8800.0
63ca788c0d73aa56d50d4ca3,Mercedes-Benz,E,2008,d,191022.0,1.0,0.0,gray,sedan,3000,224,4,15555.0
640757b77d92c0099508d842,Mercedes-Benz,S,2007,p,248000.0,1.0,0.0,gray,sedan,5500,380,4,23999.0
640ad537b66f47fdc6069742,Mercedes-Benz,ML,2009,d,249000.0,1.0,0.0,black,jeep,3000,224,4,24999.0
63777cbf173e79197c0cdfa2,Mercedes-Benz,C,2014,d,170000.0,1.0,0.0,gray,sedan,2200,170,6,37777.0
63a9bea45c2681d7a4076ab2,Mercedes-Benz,B,2015,d,175000.0,1.0,0.0,black,hatchback,2000,136,6,23000.0
640b6b806696d1d321017236,Mercedes-Benz,C,2007,p,226000.0,1.0,0.0,gray,sedan,1800,184,4,14980.0
63fdb475766afab9930448b7,Mercedes-Benz,C,2004,d,245000.0,1.0,0.0,gray,combi,2700,170,3,3300.0
6403248c764292a4200182c8,Mercedes-Benz,C,2006,p,205666.0,0.0,1.0,gray,hatchback,1800,143,4,5000.0
63fc8414de4303d77206e5b2,Mercedes-Benz,C,2002,d,250000.0,0.0,0.0,blue,sedan,2000,124,4,3000.0
63986d48a3759e2b710963e2,Mercedes-Benz,C,2001,d,341999.0,0.0,0.0,gray,sedan,2200,143,4,4400.0
6303c60b2b82135779037b92,Mercedes-Benz,ML,2007,d,178000.0,1.0,0.0,gray,jeep,3000,224,,13300.0
6255ce5010bcae95ae03b782,Mercedes-Benz,C,2009,d,192000.0,1.0,0.0,black,combi,,170,,12900.0
63bc0029193a2a8bb1028913,Mercedes-Benz,A,2001,d,210650.0,1.0,0.0,gray,hatchback,1700,90,,1550.0
63dabd1789c9eab62b06ebd3,Mercedes-Benz,C,2007,p,277450.0,1.0,0.0,black,combi,1800,156,,12900.0
62f2bcfaf59070a79405e2a2,Mercedes-Benz,ML,2009,d,151000.0,1.0,0.0,black,jeep,3000,190,4,19900.0
635d68467a3b0fd1b606aeb2,Mercedes-Benz,A,2001,p,190000.0,1.0,0.0,black,hatchback,1600,90,,3850.0
63ef44aa130719968301bf93,Mercedes-Benz,C,2002,g,280999.0,1.0,0.0,black,combi,1999,163,4,3600.0
63fa3147008274c1d604cdc5,Mercedes-Benz,B,2006,d,233000.0,0.0,0.0,gray,hatchback,,109,4,7700.0
63b05dfbf1008b27ec0e2d64,Mercedes-Benz,ML,2006,d,225000.0,1.0,0.0,black,jeep,3200,224,4,14499.0
63fa431421b66d893406bed2,Mercedes-Benz,CLK,2001,g,208529.0,0.0,1.0,gray,coupe,2000,163,2,4500.0
63f0c477f36527261f0b2a44,Mercedes-Benz,S,2002,d,265000.0,1.0,0.0,blue,sedan,3200,197,3,6700.0
63d4d9c542f5abe0320f2254,Mercedes-Benz,C,2004,d,319000.0,1.0,0.0,gray,combi,2000,122,4,3900.0
6378c0f111f59d9d93066682,Mercedes-Benz,C,2005,p,212000.0,1.0,0.0,gray,combi,3000,231,4,9999.0
5da417ac6aa9c573421f35d5,Mercedes-Benz,A,2006,d,156000.0,0.0,0.0,chameleon,hatchback,2000,109,4,6800.0
5da4176629cd0f5e0979e99a,Mercedes-Benz,S,1971,p,84200.0,0.0,0.0,blue,sedan,2800,128,6,46000.0
622d08bdadcac247875d2b92,Mercedes-Benz,C,2002,g,338000.0,1.0,0.0,green,combi,,170,4,4800.0
63eb76ee46ff355969087233,Mercedes-Benz,124,1986,g,350000.0,0.0,0.0,white,sedan,2000,115,,2900.0
63f48bb0059c00c9970f5b82,Mercedes-Benz,ML,2013,d,214000.0,1.0,0.0,black,jeep,3500,258,6,40900.0
640a3363ce31abcbfc055a73,Mercedes-Benz,CLK,2005,p,203551.0,1.0,1.0,gray,coupe,3200,218,4,9400.0
61ed39b2e2d98933a8380342,Mercedes-Benz,GLE,2016,d,93000.0,1.0,0.0,black,jeep,3500,258,6,104520.0
63fa3dfa31191ba8240b9e12,Mercedes-Benz,C,2009,d,209000.0,0.0,0.0,black,sedan,,136,4,13499.0
638f5857520ecb6d8b04acc4,Mercedes-Benz,E,2013,d,168000.0,1.0,0.0,gray,sedan,3000,231,6,24900.0
6337f900c5a9534a3b0199c2,Mercedes-Benz,E,2007,d,238000.0,1.0,0.0,gray,combi,3000,190,4,10499.0
63f35f6c521a7569df00a213,Mercedes-Benz,C,2003,d,444000.0,1.0,0.0,gray,combi,2200,143,,2700.0
63c72dcf70eeedd2e707cac2,Mercedes-Benz,CLS,2006,d,270300.0,1.0,0.0,silver,hatchback,3000,224,,8500.0
61b732adeb54074841187d23,Mercedes-Benz,CLS,2007,d,189000.0,1.0,0.0,black,sedan,3200,224,4,16900.0
63f7b30d41f1653fbc0ab8b2,Mercedes-Benz,ML,2015,d,166300.0,1.0,0.0,black,jeep,3500,258,5,45900.0
62caf66ffad1eb6edb048143,Mercedes-Benz,E,2005,d,196000.0,1.0,0.0,gray,sedan,3200,204,,12199.0
62345c1c2ed33b1b92093df3,Mercedes-Benz,CL,2007,g,193000.0,1.0,0.0,black,coupe,5000,388,4,34800.0
629d0c95f65e9e3203081db2,Mercedes-Benz,GLK,2015,d,157000.0,1.0,0.0,black,jeep,2200,170,6,34900.0
6284afd62a8c1254dc05a793,Mercedes-Benz,C,2012,d,340000.0,1.0,0.0,gray,sedan,2200,136,5,20800.0
636fe824eae9ecf1ca028e43,Mercedes-Benz,ML,2008,d,177000.0,1.0,0.0,black,jeep,3200,224,4,19800.0
614cea561751f701cb7a7c52,Mercedes-Benz,CLS,2006,d,197000.0,1.0,0.0,black,sedan,3200,224,4,14900.0
